elf_sha256=d7f0b148255ce6f428739a778ab03e74b7a6f1cd276493880a89b46919596ecd
payload_bytes=25268 payload_sha256=346eba4bd9d5b9eaee0ecc2f5c592de5e34f08761545f32500df17f7ffb151db transport=http
WIFI READY 192.168.169.176 80 i2s=gpio13,18,21,25 heap_free=117268
LOADED bytes=25268 pixels=452 heap=35704 us=9356
transfer_seconds=0.250
FRAME 0 3459375601 2359 0 0
FRAME 49652777 3459375601 2269 0 0
FRAME 49659722 3459375601 2940 0 0
FRAME 58319444 1758088845 2500 0 0
FRAME 58680555 2337628906 2538 0 0
FRAME 58986111 1343713600 2797 0 0
FRAME 66000000 2491043852 4572 0 0
FRAME 104166666 3459375601 2446 0 0
FRAME 249753832 3459375601 376 0 0
FRAME 0 3459375601 2376 0 0
VERIFIED 10 frames; zero evaluation allocations
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=1847 eval_max_us=2215 encode_avg_us=2461 encode_max_us=2711 dma_wait_avg_us=1965 dma_wait_max_us=2001 total_avg_us=6328 total_max_us=6402 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=1844 eval_max_us=2075 encode_avg_us=2465 encode_max_us=2788 dma_wait_avg_us=1965 dma_wait_max_us=2073 total_avg_us=6329 total_max_us=6415 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=1844 eval_max_us=2059 encode_avg_us=2461 encode_max_us=2704 dma_wait_avg_us=1973 dma_wait_max_us=2248 total_avg_us=6333 total_max_us=6589 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=1852 eval_max_us=2196 encode_avg_us=2458 encode_max_us=2705 dma_wait_avg_us=1964 dma_wait_max_us=1999 total_avg_us=6329 total_max_us=6421 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=1846 eval_max_us=2157 encode_avg_us=2460 encode_max_us=2708 dma_wait_avg_us=1969 dma_wait_max_us=2004 total_avg_us=6329 total_max_us=6412 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=1848 eval_max_us=2159 encode_avg_us=2459 encode_max_us=2710 dma_wait_avg_us=1968 dma_wait_max_us=2078 total_avg_us=6328 total_max_us=6429 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=1844 eval_max_us=2099 encode_avg_us=2457 encode_max_us=2703 dma_wait_avg_us=1972 dma_wait_max_us=1999 total_avg_us=6328 total_max_us=6396 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=1848 eval_max_us=2162 encode_avg_us=2456 encode_max_us=2713 dma_wait_avg_us=1973 dma_wait_max_us=2400 total_avg_us=6331 total_max_us=6741 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=1848 eval_max_us=2123 encode_avg_us=2459 encode_max_us=2716 dma_wait_avg_us=1968 dma_wait_max_us=2008 total_avg_us=6327 total_max_us=6395 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=1847 eval_max_us=2075 encode_avg_us=2457 encode_max_us=2704 dma_wait_avg_us=1971 dma_wait_max_us=2083 total_avg_us=6329 total_max_us=6425 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=1848 eval_max_us=2110 encode_avg_us=2459 encode_max_us=2791 dma_wait_avg_us=1967 dma_wait_max_us=1999 total_avg_us=6327 total_max_us=6400 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=1848 eval_max_us=2166 encode_avg_us=2460 encode_max_us=2717 dma_wait_avg_us=1965 dma_wait_max_us=1993 total_avg_us=6328 total_max_us=6395 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=1848 eval_max_us=2074 encode_avg_us=2460 encode_max_us=2811 dma_wait_avg_us=1965 dma_wait_max_us=2014 total_avg_us=6327 total_max_us=6386 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=1846 eval_max_us=2079 encode_avg_us=2460 encode_max_us=2706 dma_wait_avg_us=1969 dma_wait_max_us=2012 total_avg_us=6329 total_max_us=6405 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=1848 eval_max_us=2155 encode_avg_us=2459 encode_max_us=2708 dma_wait_avg_us=1968 dma_wait_max_us=2133 total_avg_us=6329 total_max_us=6481 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=1846 eval_max_us=2104 encode_avg_us=2460 encode_max_us=2700 dma_wait_avg_us=1968 dma_wait_max_us=1998 total_avg_us=6328 total_max_us=6388 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=1845 eval_max_us=2148 encode_avg_us=2457 encode_max_us=2705 dma_wait_avg_us=1970 dma_wait_max_us=2028 total_avg_us=6327 total_max_us=6444 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=1972 eval_max_us=3491 encode_avg_us=2464 encode_max_us=2789 dma_wait_avg_us=1836 dma_wait_max_us=1992 total_avg_us=6327 total_max_us=6397 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=4388 eval_max_us=4908 encode_avg_us=2459 encode_max_us=2688 dma_wait_avg_us=105 dma_wait_max_us=517 total_avg_us=6995 total_max_us=7499 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=3815 eval_max_us=4796 encode_avg_us=2456 encode_max_us=2679 dma_wait_avg_us=519 dma_wait_max_us=1988 total_avg_us=6837 total_max_us=7314 heap_free=81368
PLAYBACK core=1 frames=120 missed=0 eval_avg_us=1940 eval_max_us=4404 encode_avg_us=2455 encode_max_us=2703 dma_wait_avg_us=1894 dma_wait_max_us=1988 total_avg_us=6345 total_max_us=6904 heap_free=81368
